標題,評論內容,評論時間
[公告] unipatriot/axenos/hsuyihsiang 8973天,: 笑死又一個白粉進去還被說反串，可憐哪,1.200.6.166 08/23 18:59
[公告] unipatriot/axenos/hsuyihsiang 8973天,: 錢,114.39.194.223 08/23 18:59
[公告] unipatriot/axenos/hsuyihsiang 8973天,: 設個上限吧。別太誇張了，15年也太久,171.14.63.175 08/23 19:00
[公告] unipatriot/axenos/hsuyihsiang 8973天,: 柯粉-1,59.102.188.225 08/23 19:04
[公告] unipatriot/axenos/hsuyihsiang 8973天,: 都是瑋豐哪次不是,114.24.205.87 08/23 19:05
[公告] unipatriot/axenos/hsuyihsiang 8973天,: 蛤 以後看不到他崩潰了有點失落,223.139.99.221 08/23 19:08
[公告] unipatriot/axenos/hsuyihsiang 8973天,: 怎麼會看不到？一定還有分身啊XD,101.10.108.97 08/23 19:09
[公告] unipatriot/axenos/hsuyihsiang 8973天,: 這隻很純的柯粉好嗎,116.89.135.70 08/23 19:09
[公告] unipatriot/axenos/hsuyihsiang 8973天,: 這麼愛洗，用blog fb twitter大寫特寫沒,114.137.232.233 08/23 19:09
[公告] unipatriot/axenos/hsuyihsiang 8973天,: 人管,114.137.232.233 08/23 19:09
[公告] unipatriot/axenos/hsuyihsiang 8973天,: 死忠柯粉down!,223.137.17.174 08/23 19:19
[公告] unipatriot/axenos/hsuyihsiang 8973天,: 板主去查2038年問題就知道為什麼有上限,1.169.105.123 08/23 19:34
[公告] unipatriot/axenos/hsuyihsiang 8973天,: 效率真高,220.138.220.236 08/23 19:38
[公告] unipatriot/axenos/hsuyihsiang 8973天,: 政黑包青天,125.229.126.47 08/23 20:01
[公告] unipatriot/axenos/hsuyihsiang 8973天,: 板主很帥,39.14.23.28 08/23 20:32
[公告] unipatriot/axenos/hsuyihsiang 8973天,: 柯粉擊落！,101.137.177.140 08/23 20:55
[公告] unipatriot/axenos/hsuyihsiang 8973天,: 帥青天！,180.217.156.193 08/24 11:54
[公告] 逝去的過往 就別再回頭望 weiter 2-1,: 30P謝謝,223.137.109.129 08/23 21:10
[公告] 逝去的過往 就別再回頭望 weiter 2-1,: 一樓有 明天發,114.136.66.159 08/23 21:11
[公告] 逝去的過往 就別再回頭望 weiter 2-1,: 錢,42.74.196.167 08/23 21:13
[公告] 逝去的過往 就別再回頭望 weiter 2-1,: 唱歌的才有 接歌詞 有更多,114.136.66.159 08/23 21:19
[公告] 逝去的過往 就別再回頭望 weiter 2-1,: 唱兩隻老虎有嗎？,36.226.157.98 08/23 22:14
[公告] 這樣太危險 飛太遠 jojoway 2-2,: 明天發,114.136.66.159 08/23 21:13
[公告] 這樣太危險 飛太遠 jojoway 2-2,: 感恩,114.37.215.143 08/23 21:15
[公告] 這樣太危險 飛太遠 jojoway 2-2,: 錢啦,114.137.84.213 08/23 21:33
[公告] 這樣太危險 飛太遠 jojoway 2-2,: 唱歌的才有啦操,114.136.66.159 08/23 21:35
[公告] a5687920 2-2 7天 品妤摔倒 地動山搖,: 可惜了 這標題不錯,82.174.71.100 08/24 13:43
[公告] a5687920 2-2 7天 品妤摔倒 地動山搖,: 這標題有創意,101.10.10.227 08/24 14:20
[公告]沒有人要聊天 大家都在玩手機sf910132 2-2,: 3Q,114.37.215.143 08/24 17:51
[公告]能不能繼續對我哭 對我笑對我好moslaa 2-2,: 3R我愛你,118.167.195.48 08/24 17:59
[公告]能不能繼續對我哭 對我笑對我好moslaa 2-2,: 唱歌,122.99.28.211 08/24 18:00
[公告]能不能繼續對我哭 對我笑對我好moslaa 2-2,: 感謝版主 ( ≧ ▽ ≦ ),1.200.46.43 08/24 18:23
[公告]能不能繼續對我哭 對我笑對我好moslaa 2-2,: 哈哈哈哈哈,27.242.43.192 08/24 18:32
[公告]能不能繼續對我哭 對我笑對我好moslaa 2-2,: 爽,49.216.50.16 08/24 20:29
[公告]你給我這一輩子都不想失聯的愛CTC0115 2-2,: 要是我當上版主 我天天唱獨立樂團,123.240.145.93 08/24 18:17
[公告]你給我這一輩子都不想失聯的愛CTC0115 2-2,: 錢,121.50.44.44 08/24 18:28
[公告]你給我這一輩子都不想失聯的愛CTC0115 2-2,: 拿個P幣過分嗎!,27.242.137.43 08/24 18:33
[公告] 如果雨之後 淚還不停流 F5566 2-2,: 接唱+p 來吃飯,122.99.28.211 08/24 19:16
[公告] 如果雨之後 淚還不停流 F5566 2-2,: 這首我很愛 興哲作品裡個人認為前三,1.200.46.43 08/24 19:17
[公告] 如果雨之後 淚還不停流 F5566 2-2,: 名,1.200.46.43 08/24 19:17
[公告] 如果雨之後 淚還不停流 F5566 2-2,: 桑貝比不唱那女孩對我說嗎,101.10.49.180 08/24 19:34
[公告] 如果雨之後 淚還不停流 F5566 2-2,: 我要點播終於了解自由,111.185.90.124 08/24 20:26
[公告] luke7212 2-5d 7天 中國人就是愛碰瓷,: 喔喔,101.12.41.194 08/24 22:36
[公告] luke7212 2-5d 7天 中國人就是愛碰瓷,: 這隻也下去了 幫QQ,39.10.1.223 08/24 22:46
[公告] asewgek/NTUfighter/BoBoLung 別再分身ㄌ,: 這隻慣犯了 我記得還有一大串,182.155.78.98 08/24 23:20
[公告] asewgek/NTUfighter/BoBoLung 別再分身ㄌ,: 幾秒內可以打完幾千字的文章ID!,150.116.130.119 08/24 23:21
[公告] asewgek/NTUfighter/BoBoLung 別再分身ㄌ,: 柯粉-1,36.224.248.145 08/24 23:22
[公告] asewgek/NTUfighter/BoBoLung 別再分身ㄌ,: 開分身到底要幹嘛阿,59.126.215.116 08/24 23:24
[公告] asewgek/NTUfighter/BoBoLung 別再分身ㄌ,: 一個分身扮柯粉一個分身扮哥布林？,36.224.248.145 08/24 23:26
[公告] asewgek/NTUfighter/BoBoLung 別再分身ㄌ,: 原來這隻是他的？,114.136.106.37 08/24 23:58
[公告] asewgek/NTUfighter/BoBoLung 別再分身ㄌ,: 黑雲還有多少帳號啊？,219.85.229.224 08/25 00:21
[公告] asewgek/NTUfighter/BoBoLung 別再分身ㄌ,: 藍綠白都接案的公關公司嗎？,111.241.120.246 08/25 00:43
[公告] asewgek/NTUfighter/BoBoLung 別再分身ㄌ,: 注音文 ㄗㄢ,39.12.73.127 08/25 07:14
[公告] jason748 2-5L 14天 說法變來變去ㄉ品妤,: 你水桶還剩幾天啊？憋得很難受喔！,1.200.131.84 08/25 10:34
[公告] ypyp 2-2 7天 女人心海底針,: 所以女人是你還是？,118.231.213.1 08/25 13:38
[公告] samstalk 14天 欸不要推我RRRR為什ㄇ碰我,: 戳你,39.9.135.44 08/25 15:37
[公告] 一起長大的約定 那樣清晰 psw 2-2,: 標題有聲音,114.37.185.16 08/19 18:00
[公告] 一起長大的約定 那樣清晰 psw 2-2,: 好聽,101.128.197.199 08/19 18:18
[公告] 颳風這天 我試過握著妳手 a111111 2-5-c,: 意圖使人唱歌,114.37.185.16 08/19 18:15
[公告] 颳風這天 我試過握著妳手 a111111 2-5-c,: 唱歌有錢領？喵的怎麼不早說,223.137.218.171 08/19 18:23
[公告] 颳風這天 我試過握著妳手 a111111 2-5-c,: 謝謝板板,114.37.185.16 08/19 18:24
[公告] AGODFATHER 2-5D 7天 門,: 肛門癢？@xxxxgay,171.14.60.202 08/19 20:27
[公告] 而我聽見 下雨的聲音 garyjcw 暫行板規2,: 可,111.83.186.78 08/20 01:12
[公告] 而我聽見 下雨的聲音 garyjcw 暫行板規2,: 憐,111.83.186.78 08/20 01:12
[公告] 而我聽見 下雨的聲音 garyjcw 暫行板規2,: 哪,111.83.186.78 08/20 01:12
[公告] 而我聽見 下雨的聲音 garyjcw 暫行板規2,: 笑死 屁眼豚,36.225.177.151 08/20 17:44
[公告] 而我聽見 下雨的聲音 garyjcw 暫行板規2,: XDDDDDD,114.37.180.210 08/20 17:45
[公告] 而我聽見 下雨的聲音 garyjcw 暫行板規2,: 素質真差,223.136.152.28 08/20 17:46
[公告]眼看著妳難過挽留的話卻沒有說bluenan 3-6,: 中國人都是垃圾,182.235.6.118 08/19 13:36
[公告]眼看著妳難過挽留的話卻沒有說bluenan 3-6,: 綠粉大將減一,101.138.145.25 08/20 18:14
[公告]眼看著妳難過挽留的話卻沒有說bluenan 3-6,: 他不是就這風格 怎麼這次才桶,203.204.194.135 08/20 18:37
[公告]眼看著妳難過挽留的話卻沒有說bluenan 3-6,: 太粗暴了 中國人不是都垃圾 是一部份中,59.102.188.225 08/20 18:53
[公告]眼看著妳難過挽留的話卻沒有說bluenan 3-6,: 國人是垃圾,59.102.188.225 08/20 18:53
[公告]眼看著妳難過挽留的話卻沒有說bluenan 3-6,: 對呀，這位草莽氣息過於濃厚的仁兄不是一向,1.172.73.197 08/22 10:23
[公告]眼看著妳難過挽留的話卻沒有說bluenan 3-6,: 如此嗎？怎麼突然就被桶了,1.172.73.197 08/22 10:23
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: .......,36.239.187.65 08/20 18:29
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 56的幹話是我看政黑的快樂泉源,36.239.187.65 08/20 18:29
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: …,49.217.70.168 08/20 18:29
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 你為什麼要這樣 = =,36.239.187.65 08/20 18:30
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 又只能在股版活動了，哭哭,123.52.214.209 08/20 18:30
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 又要在股版看這個超長ID推文連發了..,111.248.85.12 08/20 18:31
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 怎麼又....進.....去.....了？,106.185.144.4 08/20 18:31
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 綠粉-1,42.77.253.47 08/20 18:31
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 哭啊,223.137.218.171 08/20 18:31
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 笑死 又要回股版避風頭了XD,118.150.232.27 08/20 18:31
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 靠邀 她為了我的反串把自己玩進去了==,114.42.40.88 08/20 18:32
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 這隻是不是最近才回來,49.216.90.44 08/20 18:32
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 您為什麼那麼著急呢,61.56.166.164 08/20 18:32
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 我對不起你，我只是想學一下柯粉而已,114.42.40.88 08/20 18:32
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 戰場對了..玩過頭被水桶..老熟了XD,111.253.162.216 08/20 18:33
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: Sorry, the link you accessed doesn
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 't exist on our service. Please ke,101.138.145.25 08/20 18:33
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: ep in mind that our shortened link,101.138.145.25 08/20 18:33
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: s are case sensitive and may conta,101.138.145.25 08/20 18:33
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: in letters and numbers.,101.138.145.25 08/20 18:33
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 廢話 因為版主複製的方法,125.224.158.103 08/20 18:37
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 把後面IP也弄到連結上了,125.224.158.103 08/20 18:37
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 當然會變成點連結進不去,125.224.158.103 08/20 18:37
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 傻子緑粉網軍吃屎,180.217.230.51 08/20 18:37
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 綠粉-1,61.224.114.142 08/20 18:38
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 塔綠班大將又掰惹^^,1.163.156.7 08/20 18:38
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 柯黑大將-1,111.82.35.101 08/20 18:38
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 選戰場的專家.但常玩太瘋被洗臉XD,111.253.162.216 08/20 18:38
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 又腦衝了,118.170.221.211 08/20 18:39
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 戰場不夠甜..是永遠看不到這人的.哈,111.253.162.216 08/20 18:39
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: xDD,114.25.153.247 08/20 18:39
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 改進好嗎,114.136.72.100 08/20 18:39
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 幹超可憐，風向帶不贏還被桶xDDD,114.25.153.247 08/20 18:40
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 怎麼這樣?56 每次出現DPP 就會出包,42.72.71.65 08/20 18:41
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: .捅了他，賴神要躺著選了,42.72.71.65 08/20 18:41
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 哭喔 又要在股版看到他了,114.26.156.45 08/20 18:42
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 對耶 這樣以鄰為壑耶 ~~~XDD,61.224.114.142 08/20 18:42
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 摳連,118.166.24.93 08/20 18:42
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 笑死,223.136.128.93 08/20 18:43
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 柯黑大將軍要休息一陣子了,39.9.229.233 08/20 18:43
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 其實很多緑粉網軍在雲豹能源一案都外拋,180.217.230.51 08/20 18:44
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 了,180.217.230.51 08/20 18:44
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: ID有5566都是塔綠班,42.74.97.26 08/20 18:44
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 紅燈停綠燈行 2040死亡零,220.132.119.92 08/20 18:45
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 白粉台大機器動得很厲害,42.75.65.156 08/20 18:46
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 賴包不是領先很多嗎 綠粉幹嘛這麼急,61.56.166.164 08/20 18:47
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 看來真的在洗的是塔綠斑,61.56.166.164 08/20 18:47
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 嘻嘻～,42.76.243.194 08/20 18:47
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 5次以上,220.133.14.178 08/20 18:49
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 為什麼他要一直洗賴清德的影片,61.227.112.239 08/20 18:50
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 這是網軍嗎,61.227.112.239 08/20 18:50
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 因為一直有人在洗賴在台上說「紅燈停綠燈,49.217.45.111 08/20 18:51
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 行」,49.217.45.111 08/20 18:51
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 別這樣版主 狗糧可以過三餐,180.217.230.51 08/20 18:51
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 紅燈停綠燈行哪裡有問題？,61.227.112.239 08/20 18:52
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 有需要一直洗URL嗎= =,61.227.112.239 08/20 18:52
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: ㄏ,49.216.17.116 08/20 18:53
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 切文大師快出來了，政黑少了他好無趣,27.52.34.172 08/20 18:58
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 超氣 氣到被桶 我真的會笑死,114.25.153.247 08/20 18:59
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 哈哈,111.249.100.230 08/20 19:17
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 五毛網軍-1,118.168.39.5 08/20 19:18
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 真的笑死,106.64.138.179 08/20 19:41
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 五毛廢物掰,112.104.168.161 08/20 19:42
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 居然,114.137.11.20 08/20 19:44
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 民調不是都大贏了嗎 怎麼還在無腦洗連結,36.230.4.152 08/20 19:45
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: KPI還沒達標嗎,36.230.4.152 08/20 19:47
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 柯憐哪笑死,42.73.162.59 08/20 20:01
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 可憐,61.231.80.23 08/20 20:11
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 最近科科民調下滑，要多關幾個ID免得太,101.9.200.128 08/20 20:47
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 難打？,101.9.200.128 08/20 20:47
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 痛失意見領袖,114.136.214.17 08/20 20:49
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 可憐 五毛網軍又-1  是不是沒看新版規?,114.26.203.110 08/20 21:52
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 可憐阿,123.193.178.112 08/20 22:34
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 綠畜又進去囉 爽啊,76.119.215.239 08/20 22:43
[公告] WTF55665566 35天 暫行板規 大家都在遊行,: 柯粉版主開刀囉～,223.139.137.69 08/21 10:49
[公告] diyaworld 35天 暫行板規 你們洗屁洗,: 連這位也踩到是安怎？,114.40.143.140 08/20 18:30
[公告] diyaworld 35天 暫行板規 你們洗屁洗,: 這是誰家的網軍啊,49.216.90.44 08/20 18:34
[公告] diyaworld 35天 暫行板規 你們洗屁洗,: 這位是誰？很有名嗎？,101.138.145.25 08/20 18:34
[公告] diyaworld 35天 暫行板規 你們洗屁洗,: 洗圖仔哦,1.162.111.142 08/20 18:40
[公告] diyaworld 35天 暫行板規 你們洗屁洗,: 上次被送進去，還不學乖啊,27.52.34.172 08/20 19:00
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 腿了,140.238.51.144 08/21 15:15
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 濫用爆卦,42.72.160.53 08/21 15:15
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 貪污綠圾 幹,114.136.172.32 08/21 15:15
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 好了啦噁心死了,101.9.38.247 08/21 15:15
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 勝17家,1.200.152.103 08/21 15:15
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 館長贏了,218.172.70.161 08/21 15:16
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 不是要告館長嗎？？？？？？,36.239.86.150 08/21 15:16
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 不愧是綠能,1.200.16.197 08/21 15:16
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 沒事幹嘛下臺,223.139.94.251 08/21 15:16
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 反正合法 趕快落跑,180.217.43.173 08/21 15:16
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 裙帶真好,42.77.77.171 08/21 15:16
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 辭職證清白 賴董父女為了台灣民主綠能犧牲,61.215.192.65 08/21 15:16
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 另外時幾家能源公司要不要辭一辭？,36.239.86.150 08/21 15:16
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 推 捍衛清白,1.200.25.13 08/21 15:17
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 請走綠色通道 ~,1.160.195.50 08/21 15:17
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 一切合法幹嘛請辭？,61.216.10.204 08/21 15:17
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 笑爛~~沒問題的話幹嘛辭？,106.64.136.159 08/21 15:17
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 選舉到了暫時委屈，當選之後黨會好好照顧,101.9.132.155 08/21 15:17
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 不管怎樣都合法啦 辭職 也沒事囉,180.217.43.173 08/21 15:17
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 妤妤家電優,101.8.38.94 08/21 15:17
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 館長終於贏了,我哭了
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 有說辭了幾家嗎,223.137.4.245 08/21 15:17
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 對抗炎上最差的對策就是道歉,101.9.174.197 08/21 15:17
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 請辭還能命令雲豹耶~~怕~~,140.117.53.16 08/21 15:17
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 好了啦！笑死！,49.216.191.173 08/21 15:17
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 館長竟然贏了,180.217.43.173 08/21 15:17
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 19-1 還有18 爽死惹,101.136.2.110 08/21 15:17
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 請問這是辭一家? 還是十八家總辭??,122.254.14.229 08/21 15:17
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 還有剩下十七間呢?,61.222.28.105 08/21 15:17
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 台灣的良田森林被毀了，道歉能用,42.75.164.25 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 當事國日本還在用核能哩,39.15.8.31 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 沒錯 幹麼辭。被黨要求割切了,39.15.30.10 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 檯面上收入沒了~~ 洨公豬敢辭利萎,123.192.81.33 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 呵呵,111.83.79.133 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 綠能你（核能）不能,223.137.78.181 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 從神腦董事長到雲豹董事長，賴董下一,220.129.0.202 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 步要去哪裡高升！？,220.129.0.202 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 又要戰清白啦,104.132.193.97 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 切割囉~~不過要切18刀才夠,150.117.222.95 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 合法啊。我先跑了 別查我,114.24.197.63 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 笑死, 辭職捍衛清白
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 被請辭 認證是黨營事業,223.137.85.67 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 還敢提日本 日本都要繼續核能了。而且不只,114.40.148.119 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 反正就換一個新潮流的當董事長就好了,223.137.78.181 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 這麼怕怎麼不敢現在停核三,39.15.8.31 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,:  以為我不知道喔,223.137.78.181 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 所以為什麼不說怎麼能拿一堆政府標案,111.82.83.3 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 要滾快滾,223.137.124.22 08/21 15:18
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 大家不在乎你請辭,1.200.161.143 08/21 15:19
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 不爽不要做,223.141.218.88 08/21 15:19
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 哈哈哈有鬼哦 不然幹嘛辭,114.136.240.184 08/21 15:19
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 綠電那麼貴，可以用便宜核電攤平成,42.75.164.25 08/21 15:19
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 又是烙跑戰清白,1.200.7.1 08/21 15:19
[公告]只期待 後來的你能快樂 berryc 2-2 2-5-i,: 沒問題幹嗎辭職???,114.43.122.102 08/21 15:19
